time, deviceID, val1, val2
2025-08-04T15:52:20Z, sensor2, 79, 24.43
2025-08-04T12:32:35Z, sensor2, 50, 29.61
2025-08-04T14:42:23Z, sensor2, 49, 46.0
2025-08-04T10:51:25Z, sensor1, 10, 24.59
2025-08-04T13:57:53Z, sensor2, 73, 49.88
2025-08-04T10:36:19Z, sensor1, 42, 21.31
2025-08-04T14:25:53Z, sensor3, 90, 79.84
2025-08-04T15:36:08Z, sensor1, 50, 11.61
2025-08-04T13:47:14Z, sensor2, 43, 52.6
2025-08-04T14:58:26Z, sensor3, 90, 94.5
2025-08-04T14:58:30Z, sensor2, 46, 64.75
2025-08-04T15:19:26Z, sensor1, 46, 15.11
2025-08-04T14:44:50Z, sensor1, 12, 7.79
2025-08-04T12:41:24Z, sensor2, 75, 70.44
2025-08-04T15:23:13Z, sensor3, 82, 82.88
2025-08-04T11:46:18Z, sensor1, 32, 23.5
2025-08-04T10:49:56Z, sensor3, 76, 95.04
2025-08-04T17:19:57Z, sensor1, 29, 16.65
2025-08-04T17:40:49Z, sensor1, 23, 22.87
2025-08-04T16:01:14Z, sensor1, 41, 20.39
2025-08-04T16:16:57Z, sensor1, 39, 20.25
2025-08-04T11:35:32Z, sensor3, 75, 91.65
2025-08-04T12:45:00Z, sensor2, 72, 66.26
2025-08-04T16:16:51Z, sensor2, 43, 24.91
2025-08-04T14:58:18Z, sensor3, 80, 93.82
2025-08-04T15:29:25Z, sensor1, 14, 5.26
2025-08-04T10:17:50Z, sensor1, 21, 19.32
2025-08-04T15:59:48Z, sensor3, 76, 96.86
2025-08-04T17:02:10Z, sensor1, 24, 10.95
2025-08-04T12:21:12Z, sensor3, 95, 79.76
2025-08-04T17:29:52Z, sensor3, 89, 72.82
2025-08-04T13:46:57Z, sensor1, 34, 13.86
2025-08-04T17:06:12Z, sensor3, 90, 81.98
2025-08-04T16:59:40Z, sensor1, 46, 17.59
2025-08-04T17:44:18Z, sensor1, 24, 4.63
2025-08-04T14:46:47Z, sensor3, 83, 86.15
2025-08-04T15:07:17Z, sensor3, 87, 78.2
2025-08-04T15:27:22Z, sensor2, 67, 68.16
2025-08-04T11:36:28Z, sensor3, 71, 80.18
2025-08-04T15:41:41Z, sensor1, 25, 2.85
2025-08-04T11:39:31Z, sensor2, 53, 36.39
2025-08-04T16:17:55Z, sensor1, 27, 1.52
2025-08-04T11:28:09Z, sensor3, 99, 75.84
2025-08-04T10:46:09Z, sensor2, 53, 46.55
